Id,GameTitle,Platforms,MobyScore,CriticScore,CriticVotes,UserScore,UserVotes,LastUpdatedUTC
40747,Battlestations: Pacific,"Windows,Xbox 360,Macintosh,Xbox Series,Xbox One",7.456578947368419,78,13,3.7383333333333333,6,20/10/2024 5:28:19 AM
31954,Battlestar Galactica,"Windows,Xbox 360",5.938048780487805,48,6,2.9433333333333334,3,20/10/2024 5:28:20 AM
1125,BattleSport,"DOS,PlayStation,3DO,SEGA Saturn",6.635833333333333,44,6,2,3,20/10/2024 5:28:20 AM
70596,Battleship,DOS,0,0,0,1.2,1,20/10/2024 5:28:21 AM
6727,Battleground 4: Shiloh,"Windows,Windows 3.x",7.333333333333333,76,8,3,1,20/10/2024 5:28:21 AM
3000,Battleground 6: Napoleon in Russia,"Windows,Windows 3.x",6.942424242424243,69,10,1.2,1,20/10/2024 5:28:21 AM
6725,Battleground 7: Bull Run,"Windows,Windows 3.x",6.546666666666667,63,8,3,1,20/10/2024 5:28:21 AM
4661,Battleground 2: Gettysburg,"Windows,Windows 3.x",7.417647058823529,75,10,4.1,2,20/10/2024 5:28:21 AM
4894,Battleground: Ardennes,"Windows,Windows 3.x",6.9692307692307685,70,7,3.4,1,20/10/2024 5:28:22 AM
45500,Battlefield: Bad Company 2,"Windows,Xbox 360,PlayStation 3",8.53028314028314,88,50,3.9631914893617024,47,20/10/2024 5:28:22 AM
25453,Battlefield: Vietnam - Redux,Windows,0,0,0,2,3,20/10/2024 5:28:22 AM
12397,Battlefield: Vietnam,Windows,8.050166666666668,83,59,3.688823529411765,34,20/10/2024 5:28:22 AM
65684,Battlefield 4,"Windows,PlayStation 3,Xbox 360",0,80,1,4.6,5,20/10/2024 5:28:22 AM
71708,Battlefield: Hardline,"Windows,Xbox 360,PlayStation 3,PlayStation 4,Xbox One",7.238527607361963,73,19,3.1438461538461535,13,20/10/2024 5:28:22 AM
53433,Battlefield 3,"Windows,Xbox 360,PlayStation 3",8.205347985347986,87,73,3.686122448979592,49,20/10/2024 5:28:22 AM
22380,Battlefield 2: Special Forces,Windows,7.767397260273972,78,26,4.077692307692308,13,20/10/2024 5:28:22 AM
24635,Battlefield 2142,"Windows,Macintosh",7.962234636871508,81,69,3.88304347826087,23,20/10/2024 5:28:22 AM
25464,Battlefield 2: Deluxe Edition,Windows,0,92,2,4.4,5,20/10/2024 5:28:22 AM
25428,Battlefield 2: Booster Packs Collection,Windows,0,0,0,3.3333333333333335,3,20/10/2024 5:28:22 AM
18194,Battlefield 2,Windows,8.561525704809286,90,65,3.9353846153846157,65,20/10/2024 5:28:22 AM
13423,Battlefield 1942: World War II Anthology,Windows,0,86,2,4.333333333333333,6,20/10/2024 5:28:22 AM
8732,Battlefield 1942: The Road to Rome,Windows,7.643010752688172,80,30,3.4826086956521736,23,20/10/2024 5:28:24 AM
10754,Battlefield 1942: Deluxe Edition,"Windows,Macintosh",8.264864864864865,78,2,4.55,8,20/10/2024 5:28:24 AM
7213,Battlefield 1942,Windows,8.119107142857144,88,54,3.773333333333333,108,20/10/2024 5:28:24 AM
7213,Battlefield 1942,Windows,8.119107142857144,88,54,3.773333333333333,108,20/10/2024 5:28:24 AM
42369,Battlecruiser Millennium,Windows,6.2823076923076915,60,7,2.435,2,20/10/2024 5:28:24 AM
69569,Check vs. Mate,"Windows,Xbox 360,Macintosh,PlayStation 3,Wii,Linux",7.4,0,0,0,0,20/10/2024 5:28:24 AM
80719,Battleborn,"Windows,PlayStation 4,Xbox One",7.252800000000001,74,9,0,0,20/10/2024 5:28:24 AM
62240,Battle Worlds: Kronos,"Linux,Windows,Macintosh,PlayStation 4,Nintendo Switch,Android,iPad,Xbox One",6.905714285714287,0,0,2.43,1,20/10/2024 5:28:24 AM
5326,Battle Realms,Windows,7.891636363636365,83,36,3.557142857142857,28,20/10/2024 5:28:24 AM
5821,Battle Race,DOS,6.523809523809524,59,5,4,1,20/10/2024 5:28:24 AM
55116,Battle of Britain II: Wings of Victory,Windows,6.915483870967742,69,10,3.29,1,20/10/2024 5:28:24 AM
41612,Battle of Britain,Windows,5.956666666666667,56,14,2.7,2,20/10/2024 5:28:24 AM
14407,Halls of Montezuma: A Battle History of the United States Marine Corps,"DOS,Amiga,Commodore 64,Apple II,Apple IIgs",6.748205128205129,74,2,0,0,20/10/2024 5:28:24 AM
12411,Battle Mages,Windows,6.63843137254902,65,18,3.572,5,20/10/2024 5:28:24 AM
157721,Rise: Battle Lines,"Windows,Linux,Macintosh",0,0,0,0,0,20/10/2024 5:28:24 AM
2975,Battle Isle: The Andosia War,Windows,7.421538461538461,75,24,3.6,7,20/10/2024 5:28:24 AM
1873,Battle Isle 2220: Shadow of the Emperor,"Windows,Windows 3.x",7.316747967479675,83,10,2.3728571428571428,7,20/10/2024 5:28:24 AM
1873,Battle Isle 2220: Shadow of the Emperor,"Windows,Windows 3.x",7.3,0,0,0,0,20/10/2024 5:28:25 AM
7546,Battle Isle 2: Scenery CD - Titan's Legacy,DOS,8,0,0,0,0,20/10/2024 5:28:26 AM
3420,Battle Isle 2200,DOS,8.093559322033897,87,15,3.8242105263157895,19,20/10/2024 5:28:27 AM
154412,Bishoujo Battle Hanafuda Koi-Koi,Windows,0,0,0,0,0,20/10/2024 5:28:27 AM
11291,Battle Engine Aquila,"Windows,PlayStation 2,Xbox",7.090495049504952,65,24,3.4659999999999997,5,20/10/2024 5:28:27 AM
17976,Battle for Troy,Windows,5.835714285714286,46,7,3.6,4,20/10/2024 5:28:27 AM
1950,Battle Chess,"DOS,Windows 3.x,Amiga,NES,Atari ST,Commodore 64,Apple II,Apple IIgs,Amiga CD32,Macintosh,CDTV,PC-98,Sharp X68000,Acorn 32-bit,Antstream,Windows,Linux",6.955297619047619,66,9,3.6745283018867925,53,20/10/2024 5:28:27 AM
308,Battle Bugs,"DOS,PlayStation,Windows",7.656621004566211,81,17,3.6607142857142856,28,20/10/2024 5:28:27 AM
658,Battle Beast,"Windows,Windows 3.x,Macintosh",6.018518518518518,68,10,2.4107142857142856,14,20/10/2024 5:28:27 AM
2962,Battle Arena Toshinden 2,"Arcade,PlayStation,Windows",6.8,0,0,0,0,20/10/2024 5:28:28 AM
6238,Battle Arena Toshinden,"DOS,PlayStation",7.277734375,69,16,3.1576923076923076,13,20/10/2024 5:28:28 AM
75819,Battery Check,Windows,0,60,1,0,0,20/10/2024 5:28:28 AM
23760,Batman: Justice Unbalanced,"Windows,Macintosh",0,92,3,3.61,3,20/10/2024 5:28:28 AM
62797,Batman: Arkham Origins,"Windows,Xbox 360,PlayStation 3,Wii U",7.598080808080809,77,20,3.923243243243243,37,20/10/2024 5:28:28 AM
56174,Batman: Arkham City - Game of the Year Edition,"Windows,Xbox 360,Macintosh,PlayStation 3,Gloud",8.761904761904763,0,0,4.636363636363637,22,20/10/2024 5:28:28 AM
55403,Batman: Arkham City,"Windows,Xbox 360,PlayStation 3,OnLive",8.936289592760183,91,30,4.4380327868852465,61,20/10/2024 5:28:28 AM
